Banco;Red;Direccion;Terminales;Web;Actualización;Lon;Lat
Banco Itaú;Banelco;CORRIENTES AV. 555;4;http://www.banelco.com/;mar-15;-58.374.614.671.484.500;-34.603.098.992.577.400
Banco Itaú;Banelco;CORRIENTES AV. 5555;2;http://www.banelco.com/;mar-15;-58.442.003.494.581.400;-3.459.662.540.745.670
Citibank;Banelco;CORRIENTES AV. 886;2;http://www.banelco.com/;mar-15;-58.379.225.007.004.700;-34.603.743.009.785.300
BBVA-Banco Francés;Banelco;CORRIENTES AV. 942;2;http://www.banelco.com/;mar-15;-58.380.077.171.070.000;-34.603.795.219.151.400
Banco Supervielle;Banelco;CRAMER AV. 1710;2;http://www.banelco.com/;mar-15;-58.457.939.614.899.100;-34.568.948.113.848.300
Banco Santander Río;Banelco;CRAMER AV. 2000;3;http://www.banelco.com/;mar-15;-58.460.632.868.925.000;-34.565.911.873.085.300
Banco Patagonia;Banelco;CRAMER AV. 2060;1;http://www.banelco.com/;mar-15;-58.461.142.513.653.200;-34.565.256.248.266.500
Banco Galicia;Banelco;DE LOS CONSTITUYENTES AV. 5668;2;http://www.banelco.com/;mar-15;-58.502.141.024.680.100;-3.457.441.759.265.980
Banco Galicia;Banelco;DE LOS INCAS AV. 4763;2;http://www.banelco.com/;mar-15;-58.477.642.291.140.300;-34.583.541.779.538.300
Banco Macro;Banelco;DE LOS INCAS AV. 4138;1;http://www.banelco.com/;mar-15;-58.469.728.997.580.200;-34.578.925.603.839.300
BBVA-Banco Francés;Banelco;DE MAYO AV. 1165;2;http://www.banelco.com/;mar-15;-58.382.922.799.223.700;-34.608.975.675.720.100
Banco Galicia;Banelco;DE MAYO AV. 1225;3;http://www.banelco.com/;mar-15;-58.383.821.165.757.500;-34.609.037.269.434.900
Banco Patagonia;Banelco;DE MAYO AV. 1441;3;http://www.banelco.com/;mar-15;-58.386.699.798.439.200;-34.609.234.664.306.200
BBVA-Banco Francés;Banelco;DE MAYO AV. 782;2;http://www.banelco.com/;mar-15;-58.377.476.313.730.200;-3.460.896.137.572.450
BBVA-Banco Francés;Banelco;DEL LIBERTADOR AV. 2166;1;http://www.banelco.com/;mar-15;-58.403.427.051.569.800;-34.581.738.039.676.700
Banco Galicia;Banelco;DEL LIBERTADOR AV. 2196;3;http://www.banelco.com/;mar-15;-58.403.704.188.224.100;-34.581.651.600.742.200
HSBC Argentina;Banelco;DEL LIBERTADOR AV. 2694;2;http://www.banelco.com/;mar-15;-58.407.986.921.748.000;-34.578.523.761.455.300
Banco Galicia;Banelco;DEL LIBERTADOR AV. 2699;2;http://www.banelco.com/;mar-15;-58.407.537.527.812.900;-34.577.929.821.797.900
Banco Galicia;Banelco;DEL LIBERTADOR AV. 4596;2;http://www.banelco.com/;mar-15;-58.432.309.071.695.500;-34.566.454.411.897.100
Banco Itaú;Banelco;DEL LIBERTADOR AV. 5769;3;http://www.banelco.com/;mar-15;-58.445.611.218.285.300;-34.558.789.281.064.500
Banco Santander Río;Banelco;DEL LIBERTADOR AV. 6401;2;http://www.banelco.com/;mar-15;-58.451.046.932.322.300;-34.552.468.329.165.600
Banco Patagonia;Banelco;DEL LIBERTADOR AV. 8108;1;http://www.banelco.com/;mar-15;-58.464.103.784.578.300;-34.540.669.847.523.600
Banco Santander Río;Banelco;DEL LIBERTADOR AV. y PEDRAZA, MANUELA;1;http://www.banelco.com/;mar-15;-58.457.407.733.882.200;-34.546.938.463.903.700
Banco Supervielle;Banelco;DIAZ VELEZ AV. 3916;2;http://www.banelco.com/;mar-15;-58.421.778.921.582.100;-34.608.756.229.485.900
Banco Santander Río;Banelco;DIAZ VELEZ AV. 4101;2;http://www.banelco.com/;mar-15;-58.424.841.352.936.800;-34.608.481.250.701.200
Banco Patagonia;Banelco;DIAZ VELEZ AV. 4363;2;http://www.banelco.com/;mar-15;-58.428.650.598.996.500;-34.608.543.838.967.800
BBVA-Banco Francés;Banelco;DIAZ VELEZ AV. 5253;2;http://www.banelco.com/;mar-15;-58.440.825.114.771.400;-34.608.623.003.007.300
Banco Patagonia;Banelco;CASTRO, EMILIO AV. 7325;2;http://www.banelco.com/;mar-15;-58.520.611.069.708.800;-3.465.416.724.451.300
Banco Itaú;Banelco;ELCANO AV. 3034;1;http://www.banelco.com/;mar-15;-584.581.674.698.683;-34.571.335.872.675.300
Banco Itaú;Banelco;ELCANO AV. 3034;1;http://www.banelco.com/;mar-15;-584.581.674.698.683;-34.571.335.872.675.300
BBVA-Banco Francés;Banelco;ELCANO AV. 3107;1;http://www.banelco.com/;mar-15;-58.459.047.018.845.900;-34.572.016.747.345.900
